Title,Year,link,Cast & Director,Rating,Number of reviews
Klaus,2019,https://www.imdb.com/title/tt4729430/,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.1,55197
In the Name of the Father,1993,https://www.imdb.com/title/tt0107207/,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.1,146768
Gone Girl,2014,https://www.imdb.com/title/tt2267998/,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.1,796875
Hacksaw Ridge,2016,https://www.imdb.com/title/tt2119532/,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.1,393455
Mr. Smith Goes to Washington,1939,https://www.imdb.com/title/tt0031679/,"Frank Capra (dir.), James Stewart, Jean Arthur",8.1,101267
The Grand Budapest Hotel,2014,https://www.imdb.com/title/tt2278388/,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.1,660152
How to Train Your Dragon,2010,https://www.imdb.com/title/tt0892769/,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.1,632637
The General,1926,https://www.imdb.com/title/tt0017925/,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.1,74901
Sherlock Jr.,1924,https://www.imdb.com/title/tt0015324/,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.1,36179
Before Sunrise,1995,https://www.imdb.com/title/tt0112471/,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.1,249040
Persona,1966,https://www.imdb.com/title/tt0060827/,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.1,92110
Catch Me If You Can,2002,https://www.imdb.com/title/tt0264464/,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.1,760169
Prisoners,2013,https://www.imdb.com/title/tt1392214/,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.1,552979
